Model,CV_Recall_Mean,CV_F1_Mean,CV_Accuracy_Mean,Test_Recall,Test_F1,Test_Precision,Test_Accuracy,Test_ROC_AUC,Test_PR_AUC,MLflow_Run_ID
logistic_regression,0.9411764705882352,0.9441500935221591,0.9582417582417582,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9824561403508771,0.9993386243386244,0.9988793967199283,2779a972cfd94aaeaea48b965ea4f1af
random_forest,0.9352941176470588,0.9408825239729541,0.956043956043956,0.9523809523809523,0.963855421686747,0.975609756097561,0.9736842105263158,0.9933862433862434,0.9908217255156031,7eab2def73104908b8429967882323b9
svm,0.9352941176470587,0.9490659823056662,0.9626373626373628,0.9285714285714286,0.962962962962963,1.0,0.9736842105263158,0.9976851851851852,0.9963194584182056,a4b959fdad66494aa22084be8d22a3ca
xgboost,0.9588235294117646,0.9587282077009908,0.9692307692307693,0.9285714285714286,0.962962962962963,1.0,0.9736842105263158,0.9930555555555556,0.9898728466597474,e19bec45465e4bc190899396961f655d
